service_id,date,exception_type
Local_Weekday_1_2104-PHNS_1111100,20210517,1
RAPID_Weekday_1_2104-PHNS_1111100,20210517,1
School_Weekday_1_2104-PHNS_1111100,20210517,1
Local_Weekday_1_2104-PHW_1111100,20210517,1
School_Weekday_1_2104-PHW_1111100,20210517,1
SC_Weekday_1_2104-SC_1111100,20210517,1
SKYT_7-days_1_SKYT_1111111,20210517,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210517,1
VMRU_Weekday_1_2104-VMRU_1111100,20210517,1
Express_Weekday_1_2104-VMTM_1111100,20210517,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210517,1
Local_Weekday_1_2104-VMTM_1111100,20210517,1
School_Weekday_1_2104-VMTM_1101100,20210517,1
School_Weekday_1_2104-VMTM_1111000,20210517,1
Express_Weekday_1_2104-VMW_1111100,20210517,1
Local_Weekday_1_2104-VMW_1111000,20210517,1
Local_Weekday_1_2104-VMW_1111100,20210517,1
GUS1_Weekday_1_2101-GL_1111100,20210518,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210518,1
Local_Weekday_1_2104-PHNS_1111100,20210518,1
RAPID_Weekday_1_2104-PHNS_1111100,20210518,1
School_Weekday_1_2104-PHNS_1111100,20210518,1
Local_Weekday_1_2104-PHW_1111100,20210518,1
School_Weekday_1_2104-PHW_1111100,20210518,1
SC_Weekday_1_2104-SC_1111100,20210518,1
SKYT_7-days_1_SKYT_1111111,20210518,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210518,1
VMRU_Weekday_1_2104-VMRU_1111100,20210518,1
Express_Weekday_1_2104-VMTM_1111100,20210518,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210518,1
Local_Weekday_1_2104-VMTM_1111100,20210518,1
School_Weekday_1_2104-VMTM_1101100,20210518,1
School_Weekday_1_2104-VMTM_1111000,20210518,1
Express_Weekday_1_2104-VMW_1111100,20210518,1
Local_Weekday_1_2104-VMW_1111000,20210518,1
Local_Weekday_1_2104-VMW_1111100,20210518,1
GUS1_Weekday_1_2101-GL_1111100,20210519,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210519,1
Local_Weekday_1_2104-PHNS_1111100,20210519,1
RAPID_Weekday_1_2104-PHNS_1111100,20210519,1
School_Weekday_1_2104-PHNS_1111100,20210519,1
Local_Weekday_1_2104-PHW_1111100,20210519,1
School_Weekday_1_2104-PHW_1111100,20210519,1
SC_Weekday_1_2104-SC_1111100,20210519,1
SKYT_7-days_1_SKYT_1111111,20210519,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210519,1
VMRU_Weekday_1_2104-VMRU_1111100,20210519,1
Express_Weekday_1_2104-VMTM_1111100,20210519,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210519,1
Local_Weekday_1_2104-VMTM_1111100,20210519,1
School_Weekday_1_2104-VMTM_0010000,20210519,1
School_Weekday_1_2104-VMTM_1111000,20210519,1
Express_Weekday_1_2104-VMW_1111100,20210519,1
Local_Weekday_1_2104-VMW_1111000,20210519,1
Local_Weekday_1_2104-VMW_1111100,20210519,1
GUS1_Weekday_1_2101-GL_1111100,20210520,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210520,1
Local_Weekday_1_2104-PHNS_1111100,20210520,1
RAPID_Weekday_1_2104-PHNS_1111100,20210520,1
Local_Weekday_1_2104-PHW_1111100,20210520,1
SC_Weekday_1_2104-SC_1111100,20210520,1
SKYT_7-days_1_SKYT_1111111,20210520,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210520,1
VMRU_Weekday_1_2104-VMRU_1111100,20210520,1
Express_Weekday_1_2104-VMTM_1111100,20210520,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210520,1
Local_Weekday_1_2104-VMTM_1111100,20210520,1
School_Weekday_1_2104-VMTM_1101100,20210520,1
School_Weekday_1_2104-VMTM_1111000,20210520,1
Express_Weekday_1_2104-VMW_1111100,20210520,1
Local_Weekday_1_2104-VMW_1111000,20210520,1
Local_Weekday_1_2104-VMW_1111100,20210520,1
GUS1_Weekday_1_2101-GL_1111100,20210521,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210521,1
Local_Weekday_1_2104-PHNS_1111100,20210521,1
